Term / Concept,Type of Glossary,Short Explanation
ACCOUNTABLE,Generic Job Description Glossary,The requirements placed on an individual employee to perform the work of his position to the satisfaction of his/her superior.
ACT,Generic Job Description Glossary,Does or performs something; plays the part of; carries out an action; produces as an effect; discharges are performs the office or duties or; serves in the capacity of.
ADAPT,Generic Job Description Glossary,To modify or change to fit specific or new situations.
ADMINISTER,Generic Job Description Glossary,Manage or direct. (Generally requires some additional explanation to show specific details. See also manage)
ADVERTISE,Generic Job Description Glossary,"Create general and specific demand and acceptance for the company's products through use of indirect media such as displays in periodicals, or on posters, etc."
ADVISE,Generic Job Description Glossary,Offer an informed opinion or give specialized information to others.
ANALYZE,Generic Job Description Glossary,Identify the elements of a whole and critically examine and relate these components separately and/or in relation to the whole.
ANTICIPATE,Generic Job Description Glossary,"Feels or realizes beforehand, foresees; looks forward to; expects acts in advance so as to prevent, preclude; to use in advance."
ALLOCATE,Generic Job Description Glossary,To assign or apportion for a specific purpose or to a particular person.
APPRAISE,Generic Job Description Glossary,Judge as to quality; compare critically with established standards.
APPROVE,Generic Job Description Glossary,"Exercise final and decisive authority, causing action to use money, manpower, materials, or equipment."
AREA,Generic Job Description Glossary,"Type or kind, when used to define an action as in ""area of responsibility."""
ASSEMBLE,Generic Job Description Glossary,Gather from various sources.
ASSIST,Generic Job Description Glossary,"Help or aid others in the performance of work, where another employee assumes responsibility. Consists of performing portions of assigned work or carrying out details or the total assignment under the guidance of another. (Requires further explanation to show specific details.)"
ASSIGN,Generic Job Description Glossary,Specify or designate tasks and duties to be performed by others.
"ASSURE, ENSURE, INSURE",Generic Job Description Glossary,Makes sure of something; makes a doubtful thing certain; makes secure.
ATTEND,Generic Job Description Glossary,"Is present at, remains, finds oneself at."
AUDIT,Generic Job Description Glossary,Examines to verify accuracy or conformity with requirements/policy.
AUTHORITY,Generic Job Description Glossary,"The right to make decisions binding the individual, organizational unit, or company to a policy or course of action."
AUTHORIZE,Generic Job Description Glossary,Approve or commit; an act implying subsequent action by others.
BUDGET,Generic Job Description Glossary,Statement of the estimated expenditures required for a program of action.
CALCULATE,Generic Job Description Glossary,Make mathematical computations.
CAPITAL,Generic Job Description Glossary,"Aggregate sum of money, material, and land used to produce income in contrast to income received."
CLASSIFY,Generic Job Description Glossary,To arrange or organize individual positions according to the University of California classification specifications. Typically applies to PSS and positions covered by an employee bargaining unit.
CLOSE SUPERVISION,Generic Job Description Glossary,Indicates the incumbent is assigned duties according to specified procedures and work is checked frequently.
COGNITIVE,Generic Job Description Glossary,"Process of relating thoughts and knowledge, and applying them to solve problems. (Includes both knowledge and judgment.)"
COMMIT,Generic Job Description Glossary,Pledge or assign to a particular course of action.
COMMUNICATE,Generic Job Description Glossary,"Convey information to others, ensuring that the information is received and understood."
COMPILE,Generic Job Description Glossary,Put together information or assemble data in a new form.
CONDUCT,Generic Job Description Glossary,"Manage or carry on, with an emphasis on the concept of immediate supervision of the task or activity, or personal leadership, e.g. conduct negotiations with union representatives."
CONSULT,Generic Job Description Glossary,Seeks opinion or advice of another.
CONFIDENTIAL,Generic Job Description Glossary,"Related to collective bargaining unit representation. If a position has access to or impact on information or negotiations affecting the wages, hours, and terms and conditions of employment for employees covered by recognized exclusive bargaining representatives, e.g. AFSCME, PTA."
CONTROL,Generic Job Description Glossary,"Direct, regulate, or guide the use of money, methods, equipment, materials, etc. Also, the process of monitoring activities to ensure conformance with planned results."
CONTRIBUTES,Generic Job Description Glossary,Exercise restraining or governing influence over activities to accomplish planned results.
COOPERATE,Generic Job Description Glossary,Act jointly with others.
COORDINATE,Generic Job Description Glossary,"Regulate, adjust, or direct the related actions of others in order to attain desired results."
CORRESPOND,Generic Job Description Glossary,Communicate in writing with individuals.
COUNSELS,Generic Job Description Glossary,Gives advice and guidance to another.
CREATE,Generic Job Description Glossary,Produce through imaginative skill.
CREATIVITY,Generic Job Description Glossary,The skill or ability to generate new and beneficial ideas.
CUSTOMER SERVICE,Generic Job Description Glossary,"Aid customers in the proper, economical, and effective use of energy; investigate and recommend or take action on customer complaints and inquiries."
