Job Family;Sub Job Family;Job Profile;Function Code;Discipline Code;Career Path;Global Grade;SIG Full Title;Full Job Code;Career Level;Sub Job Family Description;Job Profile Description;Role Description;Grade Differentiatior;Qualifications;Specific parameters KPIs
Corporate Affairs/Communications;General Communications;General Communications ;ACA;ACA000;Management;15;Senior Manager General Communications;ACA000-M3-15;M3;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees | Responsibilities are within the Corporate Affairs/Communications Function as a generalist or in a combination of Disciplines;"● Provides leadership to managers; may also provide leadership to supervisors and/or professional staff
● Has accountability for the performance and results of multiple related units
● Develops departmental plans, including business, production, operational and/or organizational priorities
● Controls resources and policy formation in area of responsibility
● Decisions are guided by resource availability and functional objectives";"● Looks beyond existing methodologies and own discipline to define and resolve complex problems
● Develops plans and delivers results in fast-changing businesses and/or regulatory environments
● Provides input to functional or departmental strategy
● Manages large, potentially diverse teams of managers and/or senior professionals
";"University degree or equivalent and 10+ years of work experience or equivalent
Profound experience in managing performance and results of diverse activities / multiple teams";
Corporate Affairs/Communications;General Communications;General Communications ;ACA;ACA000;Management;14;Senior Manager General Communications;ACA000-M3-14;M3;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees | Responsibilities are within the Corporate Affairs/Communications Function as a generalist or in a combination of Disciplines;"● Provides leadership to managers; may also provide leadership to supervisors and/or professional staff
● Has accountability for the performance and results of multiple related units
● Develops departmental plans, including business, production, operational and/or organizational priorities
● Controls resources and policy formation in area of responsibility
● Decisions are guided by resource availability and functional objectives";"● Identifies applications of functional knowledge and existing methodologies to complex problems
● Manages large teams of professionals and/or junior managers
";"University degree or equivalent and 10+ years of work experience or equivalent
Profound experience in managing performance and results of diverse activities / multiple teams";
Corporate Affairs/Communications;General Communications;General Communications ;ACA;ACA000;Professional;14;Senior Expert General Communications;ACA000-P4-14;P4;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees | Responsibilities are within the Corporate Affairs/Communications Function as a generalist or in a combination of Disciplines;"● Is recognized as an expert in own area within the organization
● Has specialized depth and/or breadth of expertise in own discipline or function
● Interprets internal or external issues and recommends solutions/best practices
● Solves complex problems; takes a broad perspective to identify solutions
● May lead functional teams or projects
● Works independently, with guidance in only the most complex situations
● Progression to this level is typically restricted on the basis of business requirement";"● Guides others in resolving complex issues in own specialized area and solves complex problems with implications on cross-functional business processes and outcomes
● Serves as an advisor and applies knowledge of strategies that can be deployed within own function and discipline
● Applies working knowledge of the theories and concepts in other disciplines
● May lead teams or projects with broad visibility";"University degree or equivalent and 15+ years of work experience or equivalent
Extensive leadership experience of a major, business critical and strategic segment";
Corporate Affairs/Communications;General Communications;Corporate Development ;ACD;ACD030;Professional;14;Senior Expert Corporate Development;ACD030-P4-14;P4;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Plans and executes strategies to meet organization's long-range goals including acquisitions/divestitures and strategic business alliances | Evaluates and develops new market initiatives and analyzes business opportunities in both new and existing markets | Develops proposals, including feasibility studies, for new business opportunities | Identifies, analyzes and compares alternative opportunities for entering new markets and adopting new technologies;"● Is recognized as an expert in own area within the organization
● Has specialized depth and/or breadth of expertise in own discipline or function
● Interprets internal or external issues and recommends solutions/best practices
● Solves complex problems; takes a broad perspective to identify solutions
● May lead functional teams or projects
● Works independently, with guidance in only the most complex situations
● Progression to this level is typically restricted on the basis of business requirement";"● Guides others in resolving complex issues in own specialized area and solves complex problems with implications on cross-functional business processes and outcomes
● Serves as an advisor and applies knowledge of strategies that can be deployed within own function and discipline
● Applies working knowledge of the theories and concepts in other disciplines
● May lead teams or projects with broad visibility";"University degree or equivalent and 15+ years of work experience or equivalent
Extensive leadership experience of a major, business critical and strategic segment";
Corporate Affairs/Communications;General Communications;General Communications ;ACA;ACA000;Professional;13;Senior Expert General Communications;ACA000-P4-13;P4;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees | Responsibilities are within the Corporate Affairs/Communications Function as a generalist or in a combination of Disciplines;"● Is recognized as an expert in own area within the organization
● Has specialized depth and/or breadth of expertise in own discipline or function
● Interprets internal or external issues and recommends solutions/best practices
● Solves complex problems; takes a broad perspective to identify solutions
● May lead functional teams or projects
● Works independently, with guidance in only the most complex situations
● Progression to this level is typically restricted on the basis of business requirement";"● Guides others in resolving complex issues in specialized area based on existing solutions and procedures
● Serves as an expert within own discipline
● May lead function teams or projects and serves as a best practices/quality resource
● Trains/mentors junior staff";"University degree or equivalent and 8-10 years of work experience or equivalent, 
Experience in functionally leading (sub-)projects / teams";
Corporate Affairs/Communications;General Communications;Corporate Development ;ACD;ACD030;Professional;13;Senior Expert Corporate Development;ACD030-P4-13;P4;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Plans and executes strategies to meet organization's long-range goals including acquisitions/divestitures and strategic business alliances | Evaluates and develops new market initiatives and analyzes business opportunities in both new and existing markets | Develops proposals, including feasibility studies, for new business opportunities | Identifies, analyzes and compares alternative opportunities for entering new markets and adopting new technologies;"● Is recognized as an expert in own area within the organization
● Has specialized depth and/or breadth of expertise in own discipline or function
● Interprets internal or external issues and recommends solutions/best practices
● Solves complex problems; takes a broad perspective to identify solutions
● May lead functional teams or projects
● Works independently, with guidance in only the most complex situations
● Progression to this level is typically restricted on the basis of business requirement";"● Guides others in resolving complex issues in specialized area based on existing solutions and procedures
● Serves as an expert within own discipline
● May lead function teams or projects and serves as a best practices/quality resource
● Trains/mentors junior staff";"University degree or equivalent and 8-10 years of work experience or equivalent, 
Experience in functionally leading (sub-)projects / teams";
Corporate Affairs/Communications;General Communications;General Communications ;ACA;ACA000;Management;13;Manager General Communications;ACA000-M2-13;M2;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees | Responsibilities are within the Corporate Affairs/Communications Function as a generalist or in a combination of Disciplines;"● Manages professional employees and/or supervisors or supervises large, complex support, production or operations team(s)
● Has accountability for the performance and results of a team within own discipline or function
● Adapts departmental plans and priorities to address resource and operational challenges
● Decisions and problem-solving are guided by policies, procedures and business plan; receives guidance from senior manager
● Provides technical guidance to employees, colleagues and/or customers";"● Accountable for the budget, performance and results of a medium-sized team or multiple small teams of employees
● Exercises full management authority, including performance reviews, pay decisions, recruitment, discipline, termination and other personnel actions
● Addresses issues with impact beyond own team based on knowledge of related disciplines";https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/khc3cFl6STe9GdcUKeFP.png;
Corporate Affairs/Communications;General Communications;General Communications ;ACA;ACA000;Professional;12;Expert General Communications;ACA000-P3-12;P3;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees | Responsibilities are within the Corporate Affairs/Communications Function as a generalist or in a combination of Disciplines;"● Has in-depth knowledge in own discipline and basic knowledge of related disciplines
● Solves complex problems; takes a new perspective on existing solutions
● Works independently; receives minimal guidance
● May lead projects or project steps within a broader project or have accountability for ongoing activities or objectives
● Acts as a resource for colleagues with less experience
● May represent the level at which career may stabilize for many years or even until retirement";"● Uses best practices and knowledge of internal or external business issues to improve products/services or processes
● Typically resolves complex problems or problems where precedent may not exist
● Often leads the work of small project teams; may formally train other employees (more junior and/or senior)
● Works independently";"University degree or equivalent and 4-8 years of work experience or equivalent, 
Initial experience in functionally leading (sub-) projects";
Corporate Affairs/Communications;General Communications;General Communications ;ACA;ACA000;Management;12;Manager General Communications;ACA000-M2-12;M2;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees | Responsibilities are within the Corporate Affairs/Communications Function as a generalist or in a combination of Disciplines;"● Manages professional employees and/or supervisors or supervises large, complex support, production or operations team(s)
● Has accountability for the performance and results of a team within own discipline or function
● Adapts departmental plans and priorities to address resource and operational challenges
● Decisions and problem-solving are guided by policies, procedures and business plan; receives guidance from senior manager
● Provides technical guidance to employees, colleagues and/or customers";"● Accountable for results of a small team of employees
● Exercises limited management authority; sets employee performance objectives, conducts performance reviews and recommends pay actions
● Defines team operating standards and ensures essential procedures are followed based on knowledge of own discipline";"University degree or equivalent and 7-10 years of work experience or equivalent
Experience in managing mixed-level team(s) of professionals and subordinate managers";
Corporate Affairs/Communications;General Communications;General Communications ;ACA;ACA000;Professional;11;Expert General Communications;ACA000-P3-11;P3;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees | Responsibilities are within the Corporate Affairs/Communications Function as a generalist or in a combination of Disciplines;"● Has in-depth knowledge in own discipline and basic knowledge of related disciplines
● Solves complex problems; takes a new perspective on existing solutions
● Works independently; receives minimal guidance
● May lead projects or project steps within a broader project or have accountability for ongoing activities or objectives
● Acts as a resource for colleagues with less experience
● May represent the level at which career may stabilize for many years or even until retirement";"● Contributes to process improvements
● Typically resolves problems using existing solutions
● Occasionally leads the work of small project teams; provides informal guidance/training to other employees (more junior and/or senior)
● Works with minimal guidance";"University degree or equivalent and 4-8 years of work experience or equivalent, 
Initial experience in functionally leading (sub-) projects";
