Job Family,Sub Job Family,Career Path,Job Profile,SIG Full Title,Global Grade,Photo
Corporate Affairs/Communications,General Communications,Management,General Communications ,Senior Manager General Communications,15,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/khc3cFl6STe9GdcUKeFP.png
Corporate Affairs/Communications,General Communications,Management,General Communications ,Senior Manager General Communications,14,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/khc3cFl6STe9GdcUKeFP.png
Corporate Affairs/Communications,General Communications,Professional,General Communications ,Senior Expert General Communications,14,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/khc3cFl6STe9GdcUKeFP.png
Corporate Affairs/Communications,General Communications,Professional,Corporate Development ,Senior Expert Corporate Development,14,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/khc3cFl6STe9GdcUKeFP.png
Corporate Affairs/Communications,General Communications,Professional,General Communications ,Senior Expert General Communications,13,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/khc3cFl6STe9GdcUKeFP.png
Corporate Affairs/Communications,General Communications,Professional,Corporate Development ,Senior Expert Corporate Development,13,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/khc3cFl6STe9GdcUKeFP.png
Corporate Affairs/Communications,General Communications,Management,General Communications ,Manager General Communications,13,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/khc3cFl6STe9GdcUKeFP.png
Corporate Affairs/Communications,General Communications,Professional,General Communications ,Expert General Communications,12,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/khc3cFl6STe9GdcUKeFP.png
Corporate Affairs/Communications,General Communications,Management,General Communications ,Manager General Communications,12,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/khc3cFl6STe9GdcUKeFP.png
Corporate Affairs/Communications,General Communications,Professional,General Communications ,Expert General Communications,11,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/khc3cFl6STe9GdcUKeFP.png
