Sub Job Family,Job Family,Photo
Corporate Affairs/Communications,General Communications,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/avYmBCBUYcLpJ7k4frhy.png
Corporate Affairs/Communications,Government Relations,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/avYmBCBUYcLpJ7k4frhy.png
Corporate Affairs/Communications,Investor Relations,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/avYmBCBUYcLpJ7k4frhy.png
Corporate Affairs/Communications,"Sustainability / Enviromental, Social and Governance Affairs",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/avYmBCBUYcLpJ7k4frhy.png
Facility & Administrative Services,Administrative Services,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/xLGkxOxA8FTD5oYIagsf.png
Facility & Administrative Services,Real Estate & Facility Management,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/xLGkxOxA8FTD5oYIagsf.png
Finance,Accounting,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/TRk0SHuwPFqRB5PUItJh.png
Finance,Controlling,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/TRk0SHuwPFqRB5PUItJh.png
Finance,Credit Management,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/TRk0SHuwPFqRB5PUItJh.png
Finance,Finance IT Systems & Tools (ERP & BI),https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/TRk0SHuwPFqRB5PUItJh.png
Finance,Financial Planning & Analysis,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/TRk0SHuwPFqRB5PUItJh.png
Finance,General Finance,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/TRk0SHuwPFqRB5PUItJh.png
Finance,Tax,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/TRk0SHuwPFqRB5PUItJh.png
Finance,Treasury,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/TRk0SHuwPFqRB5PUItJh.png
IT,Business IT/ Digital Projects,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/eCKgCbwAYWnkrXPbPzB9.png
IT,General IT,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/eCKgCbwAYWnkrXPbPzB9.png
IT,IT Infrastructure & Operations ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/eCKgCbwAYWnkrXPbPzB9.png
IT,IT Security,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/eCKgCbwAYWnkrXPbPzB9.png
IT,IT/Digital Business Solutions,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/eCKgCbwAYWnkrXPbPzB9.png
Legal & Internal Audit,Intellectual Property ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/UxaXUARO4A3yen3EtePp.png
Legal & Internal Audit,Internal Audit,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/DRt5b37Dv4Ph6bSv9G0w.png
Legal & Internal Audit,Legal & Compliance,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/uuszPE5lBVvk9O5RoCQq.png
Marketing,Digital Marketing,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/H3epJT6wFdB7WimLYpVp.png
Marketing,General Marketing,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/H3epJT6wFdB7WimLYpVp.png
Marketing,Market Research/Development,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/H3epJT6wFdB7WimLYpVp.png
Marketing,Product & Customer Marketing,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/H3epJT6wFdB7WimLYpVp.png
Operations,General Operations/Assembly,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/eq3glZ7N1CotUN7rnGId.png
Operations,Operations Projects,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/eq3glZ7N1CotUN7rnGId.png
Operations,Plant/ Production Site Management,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/eq3glZ7N1CotUN7rnGId.png
Operations,Production Planning & Control,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/eq3glZ7N1CotUN7rnGId.png
Operations,Production Process,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/eq3glZ7N1CotUN7rnGId.png
People & Culture,General HR,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/8WQl1NVO20XsdHfmnBQj.png
People & Culture,HR Operations/Services,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/8WQl1NVO20XsdHfmnBQj.png
People & Culture,HR Processes & Systems,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/8WQl1NVO20XsdHfmnBQj.png
People & Culture,Learning & Development,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/8WQl1NVO20XsdHfmnBQj.png
People & Culture,Talent Acquisition,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/8WQl1NVO20XsdHfmnBQj.png
People & Culture,Total Rewards/ Compensation & Benefits,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/8WQl1NVO20XsdHfmnBQj.png
Quality Management,Environmental Health & Safety (EHS),https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/XJxeLNCHy1hm0tMTtX3J.png
Quality Management,General Quality Management ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/XJxeLNCHy1hm0tMTtX3J.png
Quality Management,Quality Assurance,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/XJxeLNCHy1hm0tMTtX3J.png
Research & Development,General R&D,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/4hRwSwIsucb5SSIPWEs0.png
Research & Development,Product Development,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/4hRwSwIsucb5SSIPWEs0.png
Research & Development,R&D Projects,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/4hRwSwIsucb5SSIPWEs0.png
Sales,Account Management,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/kmNKEzfopewPWLKIIygS.png
Sales,General Sales/ Sales Management,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/kmNKEzfopewPWLKIIygS.png
Sales,Sales Administration & Coordination,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/kmNKEzfopewPWLKIIygS.png
Supply Chain & Logistics,Customer Service & Support ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/U1nYwy0FrcFl81vtrkzv.png
Supply Chain & Logistics,General Supply Chain,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/U1nYwy0FrcFl81vtrkzv.png
Supply Chain & Logistics,Logistics,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/U1nYwy0FrcFl81vtrkzv.png
Supply Chain & Logistics,Materials Planning/Management,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/U1nYwy0FrcFl81vtrkzv.png
Supply Chain & Logistics,Sourcing & Procurement,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/U1nYwy0FrcFl81vtrkzv.png
Supply Chain & Logistics,Warehouse/Fulfillment ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/U1nYwy0FrcFl81vtrkzv.png
Technical Engineering,General Engineering,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/DzXB2RxqlHX1fZ8oUu2j.png
Technical Engineering,Maintenance Engineering ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/DzXB2RxqlHX1fZ8oUu2j.png
Technical Engineering,Manufacturing Engineering,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/DzXB2RxqlHX1fZ8oUu2j.png
Technical Engineering,Process Engineering,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/DzXB2RxqlHX1fZ8oUu2j.png
Technical Engineering,Project Engineering,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/DzXB2RxqlHX1fZ8oUu2j.png
Technical Services,Technical Services,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/1dtX54mIAVjKHWPaP4qh.png
Top Executive/General Management ,Top Executive/General Management,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/Vj00QmkA3TO0g278yV6z.png
